,Unnamed: 0,index,id,name,album_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrics,year,genre,popularity,total_artist_followers,avg_artist_popularity,artist_ids,niche_genres,is_valid_lyrics,valence_norm,lyric_sentiment,alignment_gap
0,0,8,2nLtzopw4rPReszdYBJU6h,Numb,Meteora,"[""Linkin Park""]",0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072,187520,"i'm tired of being what you want me to be feeling so faithless, lost under the surface don't know what you're expecting of me put under the pressure of walking in your shoes (caught in the undertow, just caught in the undertow) every step that i take is another mistake to you (caught in the undertow, just caught in the undertow) i've become so numb, i can't feel you there i've become so tired; so much more aware i'm becoming this, all i want to do is be more like me and be less like you can't you see that you're smothering me? holding too tightly; afraid to lose control 'cause everything that you thought i would be has fallen apart right in front of you (caught in the undertow, just caught in the undertow) every step that i take is another mistake to you (caught in the undertow, just caught in the undertow) and every second i waste is more than i can take i've become so numb, i can't feel you there i've become so tired; so much more aware i'm becoming this, all i want to do is be more like me and be less like you and i know i may end up failing too but i know you were just like me with someone disappointed in you i've become so numb, i can't feel you there i've become so tired; so much more aware i'm becoming this, all i want to do is be more like me and be less like you i've become so numb, i can't feel you there (i'm tired of being what you want me to be) i've become so numb, i can't feel you there (i'm tired of being what you want me to be)",2003,Rock,89,32504225,90.0,"[""6XyY86QOPPrYVGvF9ch6wz""]","[""alternative metal"", ""nu metal"", ""rap metal"", ""rock""]",True,-0.5780000000000001,-0.9877,-0.4096999999999999
1,1,12,0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Fallen,"[""Evanescence""]",0.331,0.943,4,-3.188,0,0.0698,0.00721,2e-06,0.242,0.296,94.612,235893,"how can you see into my eyes like open doors? leading you down into my core where i've become so numb without a soul (soul), my spirit's sleeping somewhere cold until you find it there and lead it back home (wake me up) wake me up inside (i can't wake up) wake me up inside (save me) call my name and save me from the dark (wake me up) bid my blood to run (i can't wake up) before i come undone (save me) save me from the nothing i've become now that i know what i'm without, you can't just leave me breathe into me and make me real bring (bring) me (me) to life (wake me up) wake me up inside (i can't wake up) wake me up inside (save me) call my name and save me from the dark (wake me up) bid my blood to run (i can't wake up) before i come undone (save me) save me from the nothing i've become bring me to life i've been living a lie there's nothing inside bring me to life frozen inside without your touch, without your love darling, only you are the life among the dead all this time, i can't believe i couldn't see kept in the dark, but you were there in front of me i've been sleeping a thousand years, it seems got to open my eyes to everything without a thought, without a voice, without a soul don't let me die here, there must be something more bring me to life (wake me up) wake me up inside (i can't wake up) wake me up inside (save me) call my name and save me from the dark (wake me up) bid my blood to run (i can't wake up) before i come undone (save me) save me from the nothing i've become bring me to life i've been living a lie (bring me to life) there's nothing inside bring me to life",2003,Rock,89,6425100,78.0,"[""5nGIFgo0shDenQYSE0Sn7c""]","[""alternative metal""]",True,-0.408,0.9836,1.3916
2,2,40,6I9VzXrHxO9rA9A5euc8Ak,Toxic,In The Zone,"[""Britney Spears""]",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,198800,"baby, can't you see i'm calling? a guy like you should wear a warning it's dangerous, i'm falling there's no escape, i can't wait i need a hit, baby, give me it you're dangerous, i'm loving it too high, can't come down losing my head, spinnin' 'round and 'round do you feel me now? with a taste of your lips, i'm on a ride you're toxic, i'm slippin' under with a taste of a poison paradise i'm addicted to you don't you know that you're toxic? and i love what you do don't you know that you're toxic? it's getting late to give you up i took a sip from my devil's cup slowly, it's taking over me too high, can't come down it's in the air and it's all around can you feel me now? with a taste of your lips, i'm on a ride you're toxic, i'm slippin' under with a taste of a poison paradise i'm addicted to you don't you know that you're toxic? and i love what you do don't you know that you're toxic? don't you know that you're toxic? taste of your lips, i'm on a ride you're toxic, i'm slippin' under with a taste of a poison paradise i'm addicted to you don't you know that you're toxic? with a taste of your lips, i'm on a ride you're toxic, i'm slippin' under (toxic) with a taste of a poison paradise i'm addicted to you don't you know that you're toxic? intoxicate me now, with your lovin' now i think i'm ready now, i think i'm ready now intoxicate me now, with your lovin' now i think i'm ready now",2003,Pop,86,18130415,84.0,"[""26dSoYclwsYLMAKD3tpOr4""]","[""pop""]",True,0.8480000000000001,0.9614,0.1133999999999999
3,3,60,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,Elephant,"[""The White Stripes""]",0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,232107,"i'm gonna fight 'em all a seven nation army couldn't hold me back they're gonna rip it off taking their time right behind my back and i'm talking to myself at night because i can't forget back and forth through my mind behind a cigarette and the message coming from my eyes says, ""leave it alone"" don't wanna hear about it every single one's got a story to tell everyone knows about it from the queen of england to the hounds of hell and if i catch it coming back my way i'm gonna serve it to you and that ain't what you want to hear but that's what i'll do and the feeling coming from my bones says, ""find a home"" i'm going to wichita far from this opera forevermore i'm gonna work the straw make the sweat drip out of every pore and i'm bleeding, and i'm bleeding, and i'm bleeding right before the lord all the words are gonna bleed from me and i will think no more and the stains coming from my blood tell me, ""go back home""",2003,Rock,85,3587667,71.0,"[""4F84IBURUo98rz4r61KF70""]","[""alternative rock"", ""blues rock"", ""garage rock"", ""rock""]",True,-0.4439999999999999,-0.7208,-0.2768
4,4,73,4Yf5bqU3NK4kNOypcrLYwU,Faint,Meteora,"[""Linkin Park""]",0.554,0.978,4,-3.5540000000000003,1,0.131,0.111,0.0,0.0731,0.594,135.095,162600,"i am a little bit of loneliness, a little bit of disregard a handful of complaints but i can't help the fact that everyone can see these scars i am what i want you to want, what i want you to feel but it's like no matter what i do i can't convince you to just believe this is real so i let go, watching you turn your back like you always do face away and pretend that i'm not but i'll be here 'cause you're all that i got i can't feel the way i did before don't turn your back on me; i won't be ignored time won't heal this damage anymore don't turn your back on me; i won't be ignored i am a little bit insecure, a little unconfident because you don't understand i do what i can but sometimes i don't make sense i am what you never want to say, but i've never had a doubt it's like no matter what i do i can't convince you for once just to hear me out so i let go, watching you turn your back like you always do face away and pretend that i'm not but i'll be here because you're all that i got i can't feel the way i did before don't turn your back on me; i won't be ignored time won't heal this damage anymore don't turn your back on me; i won't be ignored no, hear me out now you're gonna listen to me like it or not right now, hear me out now you're gonna listen to me like it or not right now i can't feel the way i did before don't turn your back on me; i won't be ignored i can't feel the way i did before don't turn your back on me; i won't be ignored time won't heal this damage anymore don't turn your back on me; i won't be ignored i can't feel don't turn your back on me; i won't be ignored time won't heal don't turn your back on me; i won't be ignored",2003,Rock,85,32504225,90.0,"[""6XyY86QOPPrYVGvF9ch6wz""]","[""alternative metal"", ""nu metal"", ""rap metal"", ""rock""]",True,0.1879999999999999,0.8734,0.6854
5,5,101,7iL6o9tox1zgHpKUfh9vuC,In Da Club,Get Rich Or Die Tryin',"[""50 Cent""]",0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,193467,"go, go, go, go, go, go go, shorty it's your birthday we gon' party like it's your birthday we gon' sip bacardi like it's your birthday and you know we don't give a fuck it's not your birthday you can find me in the club, bottle full of bub' look, mami, i got the x, if you into takin' drugs i'm into havin' sex, i ain't into makin' love so come give me a hug, if you into getting rubbed you can find me in the club, bottle full of bub' look, mami, i got the x, if you into takin' drugs i'm into havin' sex, i ain't into makin' love so come give me a hug, if you into getting rubbed when i pull out up front, you see the benz on dubs when i roll 20 deep, it's 20 knives in the club niggas heard i fuck with dre, now they wanna show me love when you sell like eminem, and the hoes they wanna fuck but, homie, ain't nothing change hoes down, g's up i see xzibit in the cut, that nigga roll that weed up if you watch how i move, you'll mistake me for a playa or pimp been hit wit' a few shells, but i don't walk wit' a limp (i'm ight) in the hood, in l.a., they saying ""50 you hot"" they like me, i want them to love me like they love 'pac but holla, in new york them niggas'll tell ya i'm loco and the plan is to put the rap game in a chokehold i'm full of focused man, my money on my mind i got a mill' out the deal and i'm still on the grind now shorty said she feeling my style, she feeling my flow her girlfriend wanna get bi and they ready to go you can find me in the club, bottle full of bub' look, mami, i got the x, if you into takin' drugs i'm into havin' sex, i ain't into makin' love so come give me a hug, if you into getting rubbed you can find me in the club, bottle full of bub' look, mami, i got the x, if you into takin' drugs i'm into havin' sex i, ain't into makin' love so come give me a hug, if you into getting rubbed my flow, my show brought me the dough that bought me all my fancy things my crib, my cars, my clothes, my jewels look, nigga, i done came up and i ain't change and you should love it, way more then you hate it nigga, you mad? i thought that you'd be happy i made it i'm that cat by the bar toasting to the good life you that faggot ass nigga trying to pull me back, right? when my jaws get to bumpin' in the club it's on i wink my eye at you, bitch, if she smiles she gone if the roof on fire, let the motherfucker burn if the talk ain't 'bout money, homie, i ain't concerned i'm a tell you what banks told me, ""cuz, go 'head switch the style up if the niggas hate then let 'em hate and watch the money pile up"" or we can go upside your head wit' a bottle of bub' they know where we fuckin' be you can find me in the club, bottle full of bub' look, mami, i got the x, if you into takin' drugs i'm into havin' sex, i ain't into makin' love so come give me a hug, if you into getting rubbed you can find me in the club, bottle full of bub' look, mami, i got the x, if you into takin' drugs i'm into havin' sex, i ain't into makin' love so come give me a hug, if you into getting rubbed don't try to act like you don't know where we be neither, nigga we in the club all the time, nigga, so pop, pop off, nigga g-unit",2003,Hip-Hop,84,19433112,86.0,"[""3q7HBObVc0L8jNeTe5Gofh""]","[""east coast hip hop"", ""old school hip hop""]",True,0.554,-0.5936,-1.1476000000000002
6,6,121,3fjmSxt0PskST13CSdBUFx,Somewhere I Belong,Meteora (Bonus Edition),"[""Linkin Park""]",0.451,0.951,1,-3.754,1,0.0645,0.000386,2.56e-06,0.261,0.441,162.041,213933,"when this began i had nothing to say and i get lost in the nothingness inside of me (i was confused) and i let it all out to find that i'm not the only person with these things in mind (inside of me) but all that they can see the words revealed is the only real thing that i've got left to feel (nothing to lose) just stuck, hollow and alone and the fault is my own, and the fault is my own i wanna heal, i wanna feel what i thought was never real i wanna let go of the pain i've felt so long (erase all the pain 'til it's gone) i wanna heal, i wanna feel like i'm close to something real i wanna find something i've wanted all along somewhere i belong and i've got nothing to say i can't believe i didn't fall right down on my face (i was confused) looking everywhere only to find that it's not the way i had imagined it all in my mind (so what am i?) what do i have but negativity 'cause i can't justify the way, everyone is looking at me (nothing to lose) nothing to gain, hollow and alone and the fault is my own, and the fault is my own i wanna heal, i wanna feel what i thought was never real i wanna let go of the pain i've felt so long (erase all the pain 'til it's gone) i wanna heal, i wanna feel like i'm close to something real i wanna find something i've wanted all along somewhere i belong i will never know myself until i do this on my own and i will never feel anything else, until my wounds are healed i will never be anything 'til i break away from me i will break away, i'll find myself today i wanna heal, i wanna feel what i thought was never real i wanna let go of the pain i've felt so long (erase all the pain 'til it's gone) i wanna heal, i wanna feel like i'm close to something real i wanna find something i've wanted all along somewhere i belong (i wanna heal, i wanna feel like i'm) somewhere i belong (i wanna heal, i wanna feel like i'm) somewhere i belong somewhere i belong",2003,Rock,84,32504225,90.0,"[""6XyY86QOPPrYVGvF9ch6wz""]","[""alternative metal"", ""nu metal"", ""rap metal"", ""rock""]",True,-0.118,-0.9916,-0.8736
7,7,129,3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,The Diary Of Alicia Keys,"[""Alicia Keys""]",0.609,0.444,7,-9.129,1,0.106,0.603,7e-06,0.104,0.166,118.402,228707,"mmm, mmm, mmm, yeah some people live for the fortune some people live just for the fame some people live for the power, yeah some people live just to play the game some people think that the physical things define what's within and i've been there before that life's a bore so full of the superficial some people want it all but i don't want nothing at all if it ain't you, baby if i ain't got you, baby some people want diamond rings some just want everything but everything means nothing if i ain't got you, yeah some people search for a fountain promises forever young some people need three dozen roses and that's the only way to prove you love them hand me the world on a silver platter and what good would it be? with no one to share with no one who truly cares for me? some people want it all but i don't want nothing at all if it ain't you, baby if i ain't got you, baby some people want diamond rings some just want everything but everything means nothing if i ain't got you, you, you some people want it all but i don't want nothing at all if it ain't you, baby if i ain't got you, baby some people want diamond rings some just want everything but everything means nothing if i ain't got you, yeah if i ain't got you with me, baby oh, whoo-ooh said nothing in this whole wide world don't mean a thing if i ain't got you with me, baby",2003,R&B,84,13053953,81.0,"[""3DiDSECUqqY1AuBP8qtaIa""]","[""neo soul"", ""r&b""]",True,-0.6679999999999999,0.9895,1.6575
8,8,156,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,Speakerboxxx/The Love Below,"[""Outkast""]",0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,"my baby don't mess around because she loves me so and this i know for shooo uh but does she really wanna but can't stand to see me walk out the dooor don't try to fight the feelin' because the thought alone is killing me right nooww uh thank god for mom and dad for sticking two together uh heeeyyy yaaaaaaa heeyy yaaaaaaaa heeeyyy yaaaaaaa heeyy yaaaaaaaa heeeyyy yaaaaaaa heeyy yaaaaaaaa heeeyyy yaaaaaaa heeyy yaaaaaaaa you think you've got it ohh you think you've got it but got it just don't get it till' there's nothing at aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaallllll we get together ohh we get together but seperate's always better when there's feelings invooooooooooooooooooooooooooooooooooooolved if what they say is ""nothing is forever"" then what makes then what makes then what makes then what makes then what makes loovveee （love exception） so why you why you why you why you why you are we so in denial when we know we're not happy heeeerrreeee y'all don't want me here you just wanna dance heeeyyy yaaaaaaa （ohh oh） heeyy yaaaaaaaa （ohh oh） heeeyyy yaaaaaaa （don't want to meet your daddy ohh oh） heeyy yaaaaaaaa （just want you in my caddy ohh oh） heeeyyy yaaaaaaa （ohh oh don't want to meet yo' mama ohh oh） heeyy yaaaaaaaa （just wan't to make you cumma ohh oh） heeeyyy yaaaaaaa （i'm ohh oh i'm ohh oh） heeyy yaaaaaaaa （i'm just being honest ohh oh i'm just being honest） hey alright now alright now fellas （yeah ） now what's cooler than bein' cool （ice cold ） i can't hear ya' i say what's cooler than bein' cool （ice cold ） whooo alright alright alright alright alright alright alright alright alright alright alright alright alright alright ok now ladies （yeah ） and we gon' break this thing down in just a few seconds now don't have me break this thang down for nothin' now i wanna see y'all on y'all baddest behavior lend me some suga' i am your neighbor ahh here we go shake it shake shake it shake it （ohh oh） shake it shake it shake shake it shake it shake it （ohh oh） shake it shake it like a polaroid picture shake it shake it shh you got to shake it shh shake it shake it got to shake it （shake it suga'） shake it like a poloroid picture now while beyonce's and lucy lui's and baby dolls get on the floor （get on the floor） you know what to dooo you know what to dooo you know what to do heeeyyy yaaaaaaa （ohh oh） heeyy yaaaaaaaa （ohh oh） heeeyyy yaaaaaaa （ohh oh） heeyy yaaaaaaaa （uh oh hey ya） heeeyyy yaaaaaaa （ohh oh） heeyy yaaaaaaaa （uh uh ohh oh） heeeyyy yaaaaaaa （ohh oh） heeyy yaaaaaaaa （ohh oh）",2003,Hip-Hop,83,3488861,76.0,"[""1G9G7WwrXka3Z1r7aIDjI7""]","[""hip hop"", ""southern hip hop""]",True,0.93,0.9776,0.0476
9,9,172,0M955bMOoilikPXwKLYpoi,I Hate Everything About You,Three Days Grace,"[""Three Days Grace""]",0.498,0.8300000000000001,6,-5.157,0,0.0421,0.00461,0.0,0.139,0.453,89.342,231480,every time we lie awake after every hit we take every feeling that i get but i haven't missed you yet every roommate kept awake by every sigh and scream we make all the feelings that i get but i still don't miss you yet only when i stop to think about it i hate everything about you why do i love you? i hate everything about you why do i love you? every time we lie awake after every hit we take every feeling that i get but i haven't missed you yet only when i stop to think about it i hate everything about you why do i love you? i hate everything about you why do i love you? only when i stop to think about you i know only when you stop to think about me do you know? i hate everything about you why do i love you? you hate everything about me why do you love me? i hate you hate i hate you love me i hate everything about you why do i love you?,2003,Rock,83,7474734,80.0,"[""2xiIXseIJcq3nG7C8fHeBj""]","[""post-grunge"", ""rock""]",True,-0.0939999999999999,-0.9068,-0.8128000000000001
