index,id,name,album_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrics,year,genre,popularity,total_artist_followers,avg_artist_popularity,artist_ids,niche_genres,is_valid_lyrics
2,7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,"[""The Weeknd"", ""Daft Punk""]",0.679,0.587,7,-7.015,1,0.276,0.141,6.349999999999999e-06,0.137,0.486,186.003,230453,"i'm tryna put you in the worst mood, ah p1 cleaner than your church shoes, ah milli' point two just to hurt you, ah all red lamb' just to tease you, ah none of these toys on lease too, ah made your whole year in a week too, yeah main bitch outta your league too, ah side bitch out of your league too, ah house so empty, need a centerpiece 20 racks a table, cut from ebony cut that ivory into skinny pieces then she clean it with her face, man, i love my baby, ah you talking money, need a hearing aid you talking 'bout me, i don't see the shade switch up my style, i take any lane i switch up my cup, i kill any pain look what you've done i'm a motherfucking starboy look what you've done i'm a motherfucking starboy every day a nigga try to test me, ah every day a nigga try to end me, ah pull off in that roadster sv, ah pockets overweight, getting hefty, ah coming for the king, that's a far cry, i i come alive in the fall time, i the competition, i don't really listen i'm in the blue mulsanne bumping new edition house so empty, need a centerpiece 20 racks a table, cut from ebony cut that ivory into skinny pieces then she clean it with her face, man, i love my baby, ah you talking money, need a hearing aid you talking 'bout me, i don't see the shade switch up my style, i take any lane i switch up my cup, i kill any pain look what you've done i'm a motherfucking starboy look what you've done i'm a motherfucking starboy let a nigga brag pitt legend of the fall, took the year like a bandit bought mama a crib and a brand-new wagon now she hit the grocery shop looking lavish star trek roof in that wraith of khan girls get loose when they hear this song a hundred on the dash, get me close to god we don't pray for love, we just pray for cars house so empty, need a centerpiece 20 racks a table, cut from ebony cut that ivory into skinny pieces then she clean it with her face, man, i love my baby, ah you talking money, need a hearing aid you talking 'bout me, i don't see the shade switch up my style, i take any lane i switch up my cup, i kill any pain look what you've done i'm a motherfucking starboy look what you've done i'm a motherfucking starboy look what you've done i'm a motherfucking starboy look what you've done i'm a motherfucking starboy",2016,Electronic,91,126704296,89.5,"[""1Xyo4u8uXC1ZmMpatF05PJ"", ""4tZwfgrHOc3mvqYlEYSvVi""]","[""electro"", ""electronic"", ""french house""]",True
3,1zi7xx7UVEFkmKfv06H8x0,One Dance,Views,"[""Drake"", ""Wizkid"", ""Kyla""]",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,"baby, i like your style grips on your waist, front way, back way you know that i don't play streets not safe but i never run away even when i'm away oti, oti there's never much love when we go ot i pray to make it back in one piece i pray, i pray that's why i need a one dance got a hennessy in my hand one more time 'fore i go higher powers takin' a hold on me i need a one dance got a hennessy in my hand one more time 'fore i go higher powers takin' a hold on me baby, i like your style strength and guidance all that i'm wishing for my friends nobody makes it from my ends i had to bust up the silence you know you gotta stick by me soon as you see the text, reply me i don't wanna spend time fighting we've got no time and that's why i need a one dance got a hennessy in my hand one more time 'fore i go higher powers taking a hold on me i need a one dance got a hennessy in my hand one more time 'fore i go higher powers taking a hold on me got a pretty girl and she love me long time wine it, wine it, very long time oh, yeah, very long time back up, back up, back up and wine it back up, back up and wine it, girl back up, back up, back up and wine it oh, yeah, very long time back, up, back up and wine it, girl oh, tell me i need to know where do you wanna go? 'cause if you're down, i'll take it slow make you lose control where, where, where where, where, where, where (oh, yeah, very long time) where, where, where (back up, back up, and wine am, girl) where, where, where, where 'cause if you're down (back up, back up, and-) 'cause if you're down (back up, back up, and-) 'cause if you're down (back up, back up, and-) i need a one dance (where, where, where) got a hennessy in my hand (where, where, where, where) one more time 'fore i go (where) higher powers taking a hold on me (where, where, where, where) i need a one dance got a hennessy in my hand one more time 'fore i go higher powers taking a hold on me",2016,Hip-Hop,90,114949706,84.0,"[""3TVXtAsR1Inumwj472S9r4"", ""3tVQdUvClmAT7URs9V3rsp"", ""6TK7fjRPdy2GW2pJzNF23L""]","[""afro r&b"", ""afrobeat"", ""afrobeats"", ""afropiano"", ""afropop"", ""afroswing"", ""azonto"", ""rap""]",True
44,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,Back from the Edge,"[""James Arthur""]",0.358,0.557,10,-7.398,1,0.059,0.6950000000000001,0.0,0.0902,0.494,85.043,211467,"i met you in the dark you lit me up you made me feel as though i was enough we danced the night away we drank too much i held your hair back when you were throwing up then you smiled over your shoulder for a minute, i was stone cold sober i pulled you closer to my chest and you asked me to stay over i said, ""i already told ya i think that you should get some rest"" i knew i loved you then, but you'd never know 'cause i played it cool when i was scared of letting go i knew i needed you, but i never showed but i wanna stay with you until we're grey and old just say you won't let go just say you won't let go i'll wake you up with some breakfast in bed i'll bring you coffee with a kiss on your head and i'll take the kids to school wave them goodbye and i'll thank my lucky stars for that night when you looked over your shoulder for a minute, i forget that i'm older i wanna dance with you right now, oh and you look as beautiful as ever and i swear that everyday you'll get better you make me feel this way somehow i'm so in love with you and i hope you know darling, your love is more than what its weight in gold we've come so far my dear look how we've grown and i wanna stay with you until we're grey and old just say you won't let go just say you won't let go i wanna live with you even when we're ghosts 'cause you were always there for me when i needed you most i'm gonna love you 'til my lungs give out i promise 'til death we part like in our vows so i wrote this song for you now everybody knows that it's just you and me 'til we're grey and old just say you won't let go just say you won't let go just say you won't let go oh, just say you won't let go",2016,Pop,86,21061866,81.0,"[""4IWBUUAFIplrNtaOHcJPRM""]","[""soft pop""]",True
80,6gBFPUFcJLzWGx4lenP6h2,goosebumps,Birds In The Trap Sing McKnight,"[""Travis Scott""]",0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,"yeah 7:30 in the night, yeah ooh-ooh, ooh i get those goosebumps every time, yeah, you come around, yeah you ease my mind, you make everything feel fine worried 'bout those comments i'm way too numb, yeah, it's way too dumb, yeah i get those goosebumps every time, i need the heimlich throw that to the side, yeah i get those goosebumps every time, yeah when you're not around (straight up) when you throw that to the side, yeah (it's lit) i get those goosebumps every time, yeah 713 through the 281, yeah, i'm riding, why they on me? why they on me? i'm flying, sipping low-key i'm sipping low-key in onyx, rider, rider when i'm pulling up right beside ya pop star, lil' mariah when i text a cute game, wildness throw a stack on the bible never snapchat or took molly she fall through plenty, her and all her ginnies, yeah we at the top floor, right there off doheny, yeah oh no, i can't fuck with y'all yeah, when i'm with my squad, i cannot do no wrong yeah, saucing in the city, don't get misinformed yeah, they gon' pull up on you (brr, brr, brr) yeah, we gon' do some things, some things you can't relate yeah, 'cause we from a place, a place you cannot stay oh, you can't go, oh, i don't know oh, back the fuck up off me (brr, brr, brr) i get those goosebumps every time, yeah, you come around, yeah you ease my mind, you make everything feel fine worried 'bout those comments i'm way too numb, yeah, it's way too dumb, yeah i get those goosebumps every time, i need the heimlich throw that to the side, yeah i get those goosebumps every time, yeah when you're not around when you throw that to the side, yeah i get those goosebumps every time i want to press my like, yeah, i wanna press my i want a green light, i wanna be like i wanna press my line, yeah i wanna take that ride, yeah i'm gonna press my line i want a green light, i wanna be like, i wanna press my- mama, dear, spare your feelings i'm reliving moments, peeling more residual (i can) buy the building, burn the building take your bitch, rebuild the building just to fuck some more (i can) justify my love for you and touch the sky for god to stop, debating war put the pussy on a pedestal (ayy) put the pussy on a high horse that pussy to die for that pussy to die for peter, piper, picked a pepper so i could pick your brain and put your heart together we depart the shady parts and party hard the diamonds yours, the coupe forever my best shots might shoot forever like (brr) i get those goosebumps every time, yeah, you come around, yeah you ease my mind, you make everything feel fine worried 'bout those comments i'm way too numb, yeah, it's way too dumb, yeah i get those goosebumps every time, i need the heimlich throw that to the side, yeah i get those goosebumps every time, yeah when you're not around when you throw that to the side, yeah i get those goosebumps every time",2016,Hip-Hop,85,41891685,92.0,"[""0Y5tJX1MQlPlqiwlOH1tJY""]","[""rap""]",True
100,76FZM38RC8XaAjJ77CVTNe,Into You,Dangerous Woman,"[""Ariana Grande""]",0.623,0.734,9,-5.95,1,0.107,0.0162,2e-06,0.145,0.372,107.853,244453,"i'm so into you i can barely breathe and all i wanna do is to fall in deep but close ain't close enough 'til we cross the line, hey, yeah so name a game to play and i'll roll the dice, hey oh, baby, look what you started the temperature's rising in here is this gonna happen? been waiting and waiting for you to make a move (ooh, ooh) before i make a move (ooh, ooh) so, baby, come light me up and maybe i'll let you on it a little bit dangerous but, baby, that's how i want it a little less conversation and a little more touch my body 'cause i'm so into you, into you, into you got everyone watchin' us so, baby, let's keep it secret a little bit scandalous but, baby, don't let them see it a little less conversation and a little more touch my body 'cause i'm so into you, into you, into you ooh, yeah this could take some time, hey i made too many mistakes better get this right, right, baby oh, baby, look what you started the temperature's rising in here is this gonna happen? been waiting and waiting for you to make a move (ooh, ooh) before i make a move (ooh, ooh) so, baby, come light me up and maybe i'll let you on it a little bit dangerous but, baby, that's how i want it a little less conversation and a little more touch my body 'cause i'm so into you, into you, into you got everyone watchin' us so, baby, let's keep it secret a little bit scandalous but, baby, don't let them see it a little less conversation and a little more touch my body 'cause i'm so into you, into you, into you ('cause i'm so into you) tell me what you came here for 'cause i can't, i can't wait no more i'm on the edge with no control and i need, i need you to know you to know, oh, yeah so, baby, come light me up (light me up) and maybe i'll let you on it a little bit dangerous (dangerous) but, baby, that's how i want it (how i want it) a little less conversation and a little more touch my body 'cause i'm so into you, into you, into you got everyone watchin' us (watchin' us) so, baby, let's keep it secret a little bit scandalous (scandalous) but, baby, don't let them see it a little less conversation and a little more touch my body 'cause i'm so into you, into you, into you so come light me up so come light me up, my baby little dangerous a little dangerous, my baby a little less conversation and a little more touch my body 'cause i'm so into you, into you, into you",2016,Pop,84,108481053,95.0,"[""66CXWjxzNUsdJxJ2JdwvnR""]","[""pop""]",True
122,5kqIPrATaCc2LqxVWzQGbk,7 Years,Lukas Graham,"[""Lukas Graham""]",0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,237300,"once, i was seven years old, my mama told me ""go make yourself some friends, or you'll be lonely"" once, i was seven years old it was a big, big world, but we thought we were bigger pushing each other to the limits, we were learnin' quicker by 11, smoking herb and drinkin' burnin' liquor never rich, so we were out to make that steady figure once, i was 11 years old, my daddy told me ""go get yourself a wife or you'll be lonely"" once, i was 11 years old i always had that dream like my daddy before me so i started writin' songs, i started writin' stories something about that glory just always seemed to bore me 'cause only those i really love will ever really know me once, i was 20 years old, my story got told before the mornin' sun, when life was lonely once, i was 20 years old (lukas graham!) i only see my goals, i don't believe in failure 'cause i know the smallest voices, they can make it major i got my boys with me, at least those in favor and if we don't meet before i leave, i hope i'll see you later once, i was 20 years old, my story got told i was writin' 'bout everything i saw before me once, i was 20 years old soon, we'll be 30 years old, our songs have been sold we've traveled around the world and we're still roamin' soon, we'll be 30 years old i'm still learnin' about life, my woman brought children for me so i can sing them all my songs, and i can tell them stories most of my boys are with me, some are still out seekin' glory and some i had to leave behind, my brother, i'm still sorry soon, i'll be 60 years old, my daddy got 61 remember life and then your life becomes a better one i made a man so happy when i wrote a letter once i hope my children come and visit once or twice a month soon, i'll be 60 years old, will i think the world is cold or will i have a lot of children who can warm me? soon, i'll be 60 years old soon, i'll be 60 years old, will i think the world is cold or will i have a lot of children who can hold me? soon, i'll be 60 years old once, i was seven years old, my mama told me ""go make yourself some friends, or you'll be lonely"" once, i was seven years old once, i was seven years old",2016,Pop,84,3045937,72.0,"[""25u4wHJWxCA9vO0CzxAbK7""]","[""dansk pop""]",True
133,44ONERBHALxftQNWq6dmyd,Side To Side,Dangerous Woman,"[""Ariana Grande"", ""Nicki Minaj""]",0.649,0.736,6,-5.84,0,0.23,0.0528,0.0,0.235,0.612,159.182,226160,"i've been here all night (ariana) i've been here all day (nicki minaj) and boy, got me walkin' side to side (let them hoes know) i'm talkin' to ya see you standing over there with your body feeling like i wanna rock with your body and we don't gotta think 'bout nothin' ('bout nothin') i'm comin' at ya 'cause i know you got a bad reputation doesn't matter, 'cause you give me temptation and we don't gotta think 'bout nothin' ('bout nothin') these friends keep talkin' way too much say i should give you up can't hear them no, 'cause i i've been here all night i've been here all day and boy, got me walkin' side to side i've been here all night i've been here all day and boy, got me walkin' side to side (side to side) been tryna hide it baby what's it gonna hurt if they don't know? makin' everybody think that we solo just as long as you know you got me (you got me) and boy i got ya 'cause tonight i'm making deals with the devil and i know it's gonna get me in trouble just as long as you know you got me these friends keep talkin' way too much say i should give you up can't hear them no, 'cause i've been here all night i've been here all day and boy, got me walkin' side to side (side to side) i've been here all night (been here all night, baby) i've been here all day (been here all day, baby) and boy, got me walkin' side to side (side to side) this the new style with the fresh type of flow wrist icicle, ride dick bicycle come true yo, get you this type of blow if you wanna menage i got a tricycle all these bitches, flows is my mini-me body smoking, so they call me young nicki chimney rappers in they feelings cause they feelin' me uh, i-i give zero fucks and i got zero chill in me kissing me, copped the blue box that say tiffany curry with the shot, just tell 'em to call me stephanie gun pop and i make my gum pop i'm the queen of rap, young ariana run pop these friends keep talkin' way too much say i should give him up can't hear them no, 'cause i i've been here all night i've been here all day and boy, got me walkin' side to side (side to side) i've been here all night (been here all night baby) i've been here all day (been here all day baby) boy, got me walkin' side to side (side to side) this the new style with the fresh type of flow wrist icicle, ride dick bicycle come true yo, get you this type of blow if you wanna menage i got a tricycle",2016,Pop,83,142977455,90.5,"[""66CXWjxzNUsdJxJ2JdwvnR"", ""0hCNtLu0JehylgoiP8L4Gh""]","[""pop""]",True
162,7EiZI6JVHllARrX9PUvAdX,Low Life (feat. The Weeknd),EVOL,"[""Future"", ""The Weeknd""]",0.722,0.331,8,-7.789,1,0.0726,0.337,0.282,0.146,0.102,143.961,313547,"i just took some molly, what else? (hey) got some bitch from follies with us ('scuse me, 'scuse me) she gon' fuck the squad, what else? (i swear) i'ma fuck her broads, what else? (get, get) bitch from pakistan, what up? (foreign) ferraris and them lambs, what else? (skrrt, skrrt) 'bout to fuck this club up, what else? (get, get) metro boomin want some more, nigga i turn the ritz into a poor house it's like eviction number four now go 'head and ash it on the floor now girl, go 'head and show me how you go down and i feel my whole body peakin' and i'm fuckin' anybody with they legs wide gettin' faded with some bitches from the west side east coast, nigga reppin' north side never waste a ho's time bitch, i'm on my own time fuck a nigga co-sign always change my number and my phone line baby girl, i don't lie used to have no money for a crib now my room service bill cost your whole life if they try to stunt me, i go all out military i'm camo'ed all out like i'm in the military and free up all my niggas locked up in the penitentiary (squad) 'cause i'm always reppin' for that low life reppin' for that low life (turn up) low life, low life, low life know i'm reppin' for that low, low life (representin', i'm representin', representin') said i'm reppin' for that low life low life, low life, low life, low life (i'm representin' for that low life) said i'm repping for that low life (i'm reppin', that's reppin', i'm reppin') low life, low life, low life (rep, rep, rep, rep, rep, rep, rep, woo, woo, woo, woo), yeah wake up, take a sip of ace of spades like it's water i been on the molly and them xans with your daughter if she catch me cheating, i won't ever tell her sorry if she catch me cheating, i won't ever tell her sorry porsches in the valet, i got bentleys, i got 'raris taking pain pills on the plane, gettin' chartered poppin' tags on tags, i was starvin' bitch, i got the juice and the carbine turn a five star hotel to a traphouse roaches everywhere like we forgot to take the trash out flood my cross with ice, gettin' money my religion got my baby mama and my side bitch kissin' i turn the ritz into a lean house this the sixth time gettin' kicked out i can't feel my face, i'm on adderall, nauseous niggas tryna ride my fuckin' wave, now they salty runnin' with the wave, get you killed quick shoot you in your back like you ricky (ricky) lil mexico, with no life to afterlife my whole life, my whole life 'cause i'm always reppin' for that low life low life, low life, low life know i'm reppin' for that low, low life (representin', i'm representin', representin') said i'm reppin' for that low life low life, low life, low life, low life (i'm representin' that low life) said i'm reppin' for that low life (low life, i'm reppin' for that low life) low life, low life, low life (rep, rep, rep, rep, rep, rep, rep, woo), yeah yeah, they stereotypin' 'cause they know a nigga keep ten rifles and they know a nigga keep ten snipers keep a baby bottle like we wearin' diapers yeah, they stereotypin' 'cause they know a nigga keep 20 rifles and they know a nigga keep 20 snipers and they know a nigga keep ten wifeys (hahahaha) sniper, sniper, sniper, sniper, sniper wifey, wifey, wifey, wifey, wifey that's your wifey, wifey, wifey, wifey, wifey? i think i like her, like her, like her, like her that's your wifey, wifey, wifey, wifey, wifey? i think i like her, like her, like her, like her oh, that's your wifey, wifey, wifey, wifey, wifey? i think i like her, like her, like her, like her i just took some molly, what else? got some bitch from follies with us she gon' fuck the squad, what else? i'ma fuck her broads, what else? bitch from pakistan, what up? ferraris and them lambs, what else? 'bout to fuck this club up, what else? 'bout to fuck this club up, what else?",2016,Hip-Hop,83,138822961,93.5,"[""1RyvyyTE3xzB2ZywiAwp0i"", ""1Xyo4u8uXC1ZmMpatF05PJ""]","[""rap""]",True
202,0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,Views,"[""Drake""]",0.891,0.628,2,-7.862999999999999,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,267067,"you used to call me on my you used to, you used to yeah you used to call me on my cell phone late night when you need my love call me on my cell phone late night when you need my love and i know when that hotline bling that can only mean one thing i know when that hotline bling that can only mean one thing ever since i left the city, you got a reputation for yourself now everybody knows and i feel left out girl you got me down, you got me stressed out cause ever since i left the city, you started wearing less and goin' out more glasses of champagne out on the dance floor hangin' with some girls i've never seen before you used to call me on my cell phone late night when you need my love call me on my cell phone late night when you need my love i know when that hotline bling that can only mean one thing i know when that hotline bling that can only mean one thing ever since i left the city, you, you, you you and me, we just don't get along you make me feel like i did you wrong going places where you don't belong ever since i left the city, you you got exactly what you asked for running out of pages in your passport hanging with some girls i've never seen before you used to call me on my cell phone late night when you need my love call me on my cell phone late night when you need my love and i know when that hotline bling that can only mean one thing i know when that hotline bling that can only mean one thing these days, all i do is wonder if you're bendin' over backwards for someone else wonder if you're rolling up a backwoods for someone else doing things i taught you, gettin' nasty for someone else you don't need no one else you don't need nobody else, no why you never alone why you always touching road used to always stay at home, be a good girl you was in the zone, yeah you should just be yourself right now, you're someone else you used to call me on my cell phone late night when you need my love call me on my cell phone late night when you need my love and i know when that hotline bling that can only mean one thing i know when that hotline bling that can only mean one thing ever since i left the city...",2016,Hip-Hop,82,104983712,98.0,"[""3TVXtAsR1Inumwj472S9r4""]","[""rap""]",True
223,1C7KSXR2GVxknex6I4ANco,9,Views,"[""Drake""]",0.68,0.712,10,-7.184,1,0.0453,0.000803,0.000612,0.237,0.0379,100.009,255787,"yeah, for the dogs dem, you know man, when shit gets like this, man, the whole city shit's crazy right now, and shit ain't gon' stop you know shits gonna get a lot more worse 'fore it get any better look, mama hit my phone and said rap's no good better than her telling me the check's no good now they wanna act like i do no good funny 'cause i really did more than i should i made a decision last night that i would die for it just to show the city what it takes to be alive for it can't get me on the line so they hang me out to dry for it you know 40 wants peace but i'm down to cut ties for it and i can't sleep these days 'less i take one if they don't have a story these days, they'll make one life is always on, man, i never get a break from it doesn't matter where i go, i can never get away from it they give me loyalty and i don't gotta pay for it same way, breads gotta break for it keeping people fed is my only peace of mind now and i turn the six upside down, it's a nine now i made a decision last night that i would die for it (dying, woo, yeah, yeah, gangstas, gangstas, gangstas) (dying, woo, yeah, yeah, gangstas, gangstas, gangstas) (dying, woo, yeah, yeah, gangstas, gangstas, gangstas) (dying, woo, yeah, yeah, gangstas, gangstas, gangstas) all these hand outs, man, it's getting outta hand i'ma start telling niggas ""get it how you can"" i got it right now so i'm everybody's friend if i ever lose i bet we never speak again i made a decision last night, i'd die for it just to show the city what it takes to be alive for it first place, first place, man, we can't be tied for it i only drove it five times, paid 1.5 for it, yeah keychain go jang-a-lang, i wanna do major things mj in every way, i just don't fade away six upside down, it's a nine now like mannie, like stunna, man, shit is big time now and i made a decision last night that i would die for it (dying, woo, yeah, yeah, gangstas, gangstas, gangstas) (dying, woo, yeah, yeah, gangstas, gangstas, gangstas) (dying, woo, yeah, yeah, gangstas, gangstas, gangstas) (dying, woo, yeah, yeah, gangstas, gangstas, gangstas) make me feel afraid of how i'd been to you trust me when i say i thought it all through trust me when i say that shit is old moves god made himself a way from me to you tried to kill me but they still want the views tried to kill me but they still want the views tried to kill me but i am very much alive on the six side yeah, i said i am very much alive on the six side i said i am",2016,Hip-Hop,82,104983712,98.0,"[""3TVXtAsR1Inumwj472S9r4""]","[""rap""]",True
